word                 :  count     
================================
a                    :  397       
abide                :  1         
able                 :  3         
about                :  48        
above                :  2         
accept               :  1         
accepted             :  2         
accepting            :  1         
access               :  10        
accessed             :  1         
accessible           :  1         
accident             :  1         
accordance           :  2         
accounting           :  1         
accounts             :  2         
accusation           :  1         
ache                 :  1         
acmcclurg            :  1         
acres                :  1         
across               :  2         
act                  :  6         
active               :  2         
acts                 :  1         
actual               :  1         
addition             :  4         
additional           :  4         
additions            :  1         
address              :  1         
addresses            :  1         
addressing           :  1         
admire               :  1         
advance              :  3         
advantage            :  2         
adventures           :  2         
advertising          :  1         
advice               :  2         
affectionate         :  1         
affectionately       :  1         
afford               :  1         
afraid               :  5         
after                :  13        
afternoon            :  1         
afterwards           :  2         
again                :  25        
against              :  8         
aged                 :  1         
agent                :  1         
ago                  :  1         
agree                :  11        
agreed               :  1         
agreement            :  18        
ah                   :  6         
air                  :  1         
ak                   :  1         
alarm                :  1         
alfred               :  2         
alice                :  390       
alices               :  12        
aline                :  1         
alive                :  2         
all                  :  111       
allen                :  1         
allow                :  2         
almost               :  5         
alone                :  5         
along                :  6         
already              :  2         
also                 :  2         
alteration           :  1         
alternate            :  1         
altogether           :  1         
always               :  13        
am                   :  20        
amazed               :  3         
amazement            :  2         
amazing              :  1         
ambition             :  1         
among                :  1         
an                   :  35        
ancient              :  1         
and                  :  480       
angle                :  1         
anglo                :  1         
angrily              :  1         
angry                :  2         
annerly              :  1         
annoy                :  1         
another              :  9         
answer               :  10        
answers              :  3         
anxiously            :  1         
any                  :  58        
anyone               :  7         
anything             :  11        
anywhere             :  3         
apiece               :  1         
appeals              :  1         
appear               :  2         
appeared             :  1         
appearing            :  3         
appears              :  4         
applicable           :  3         
apply                :  1         
approach             :  1         
approaches           :  1         
appropriates         :  1         
arch                 :  5         
archive              :  15        
are                  :  74        
arent                :  1         
argue                :  1         
arise                :  1         
arithmetic           :  1         
arm                  :  7         
armchair             :  4         
arms                 :  4         
army                 :  3         
around               :  4         
arranges             :  1         
array                :  1         
art                  :  1         
arthur               :  1         
artificial           :  1         
arts                 :  1         
as                   :  85        
ascii                :  2         
ashamed              :  1         
aside                :  1         
ask                  :  10        
askance              :  1         
asked                :  3         
asking               :  4         
asleep               :  7         
assistance           :  1         
associated           :  8         
at                   :  117       
ate                  :  1         
atom                 :  2         
attached             :  1         
attention            :  4         
attitudes            :  2         
audience             :  1         
author               :  2         
available            :  4         
away                 :  16        
awful                :  2         
awfully              :  1         
axes                 :  1         
axis                 :  1         
b                    :  3         
baby                 :  7         
babys                :  1         
back                 :  10        
backs                :  6         
backwards            :  3         
ball                 :  3         
bang                 :  1         
bargains             :  1         
barnsdall            :  1         
based                :  2         
bat                  :  1         
battle               :  2         
bawled               :  1         
be                   :  95        
beach                :  1         
beat                 :  5         
beating              :  1         
beau                 :  2         
beautiful            :  8         
beautify             :  1         
became               :  1         
because              :  12        
beckon               :  1         
bed                  :  1         
been                 :  28        
before               :  22        
beg                  :  4         
began                :  1         
begin                :  12        
beginning            :  4         
begins               :  9         
begone               :  1         
begun                :  3         
behead               :  1         
beheaded             :  2         
behind               :  7         
being                :  7         
believe              :  8         
belong               :  1         
belongs              :  2         
below                :  4         
belt                 :  3         
bendtsen             :  1         
beseech              :  1         
best                 :  7         
better               :  19        
between              :  6         
big                  :  5         
bill                 :  1         
binary               :  1         
binding              :  1         
bird                 :  1         
birds                :  1         
biscuit              :  3         
bishop               :  1         
bissell              :  1         
bit                  :  7         
bite                 :  5         
bites                :  1         
black                :  4         
blacking             :  1         
blame                :  1         
blasts               :  2         
bleeding             :  2         
blow                 :  1         
blown                :  1         
blows                :  3         
blue                 :  2         
bluish               :  1         
blum                 :  1         
board                :  1         
body                 :  2         
bone                 :  4         
book                 :  5         
books                :  2         
booth                :  1         
boots                :  3         
borogoves            :  1         
both                 :  13        
bottle               :  2         
bottom               :  4         
bound                :  2         
bounding             :  1         
bow                  :  1         
bowing               :  1         
bows                 :  2         
box                  :  1         
boxed                :  1         
boy                  :  3         
branches             :  1         
breach               :  2         
bread                :  11        
break                :  1         
breaks               :  1         
breath               :  3         
breathe              :  2         
breeze               :  1         
bridge               :  2         
brightens            :  1         
brillig              :  1         
bringing             :  2         
briny                :  1         
broken               :  1         
brooch               :  2         
brother              :  1         
brothers             :  1         
brought              :  2         
brow                 :  1         
bruised              :  1         
brush                :  2         
brushes              :  1         
built                :  1         
bump                 :  1         
bunches              :  1         
bush                 :  1         
busily               :  1         
business             :  9         
businesspglaforg     :  1         
but                  :  82        
butter               :  11        
buttered             :  2         
by                   :  55        
bye                  :  7         
c                    :  3         
calculate            :  1         
calculated           :  1         
call                 :  15        
called               :  5         
calls                :  1         
came                 :  8         
can                  :  47        
candle               :  3         
cannot               :  5         
cans                 :  1         
cant                 :  35        
cap                  :  2         
card                 :  1         
cards                :  7         
care                 :  6         
cares                :  1         
carpenter            :  4         
carries              :  1         
carroll              :  18        
carrolls             :  2         
carry                :  3         
carrying             :  4         
case                 :  2         
cast                 :  1         
cat                  :  28        
catches              :  2         
caterpillar          :  14        
cats                 :  2         
cause                :  4         
cease                :  1         
certain              :  2         
certainly            :  4         
chains               :  2         
chair                :  2         
chairs               :  1         
change               :  4         
changed              :  2         
character            :  1         
characteristic       :  1         
characters           :  5         
charge               :  6         
charges              :  1         
charitable           :  1         
charities            :  1         
chased               :  1         
chasing              :  1         
chattering           :  1         
cheat                :  2         
check                :  3         
checked              :  2         
checks               :  2         
cheeks               :  1         
cherry               :  1         
cheshire             :  6         
chess                :  7         
chessboard           :  3         
chicago              :  9         
chief                :  1         
chiefly              :  1         
child                :  7         
childs               :  1         
chin                 :  2         
choice               :  1         
choke                :  1         
choked               :  1         
chokes               :  1         
choose               :  4         
chop                 :  3         
chorus               :  2         
chose                :  1         
circling             :  1         
circumstances        :  1         
city                 :  1         
civil                :  4         
claim                :  1         
clapping             :  1         
classical            :  1         
claws                :  1         
clean                :  1         
clear                :  1         
cleared              :  1         
clearer              :  1         
clearly              :  1         
climbs               :  1         
clock                :  2         
close                :  1         
closed               :  1         
closely              :  1         
clothes              :  1         
clutches             :  1         
co                   :  2         
coat                 :  1         
codes                :  1         
coils                :  1         
cold                 :  1         
collar               :  1         
collection           :  4         
collects             :  1         
colored              :  1         
comb                 :  1         
come                 :  34        
comes                :  11        
comfortable          :  1         
coming               :  4         
commercial           :  1         
commits              :  1         
committed            :  1         
company              :  2         
compares             :  1         
compilation          :  1         
complain             :  1         
complained           :  1         
compliance           :  5         
comply               :  6         
complying            :  3         
compressed           :  1         
computer             :  2         
computers            :  2         
concept              :  2         
concerning           :  2         
concert              :  1         
confirmation         :  1         
confirmed            :  1         
confused             :  1         
confusing            :  3         
confusion            :  2         
conger               :  1         
conscience           :  1         
conscious            :  1         
consequences         :  1         
consequential        :  1         
consider             :  5         
considerable         :  2         
constant             :  1         
consults             :  1         
contact              :  4         
contain              :  2         
containing           :  1         
content              :  1         
continues            :  3         
continuing           :  1         
contract             :  1         
contrariwise         :  1         
contributions        :  2         
convenient           :  1         
conveniently         :  1         
conventional         :  1         
conversation         :  1         
convert              :  1         
cook                 :  5         
copied               :  2         
copies               :  7         
copy                 :  12        
copying              :  4         
copyright            :  14        
corporation          :  1         
correct              :  1         
corrupt              :  1         
cost                 :  3         
costs                :  2         
costumes             :  2         
could                :  23        
couldnt              :  11        
count                :  1         
countries            :  2         
country              :  4         
course               :  40        
court                :  11        
crab                 :  1         
cravat               :  3         
crawls               :  2         
crazy                :  1         
created              :  2         
creating             :  4         
creation             :  1         
creature             :  1         
creatures            :  5         
credit               :  1         
cried                :  1         
cries                :  6         
crime                :  2         
crimson              :  1         
critical             :  1         
crooked              :  2         
croquet              :  6         
croqueted            :  1         
cross                :  3         
crowd                :  3         
crowded              :  1         
crown                :  5         
crowns               :  1         
crumbs               :  4         
cry                  :  1         
cup                  :  2         
cups                 :  1         
curious              :  4         
curiously            :  2         
current              :  1         
curtain              :  11        
curtsey              :  1         
curtseys             :  1         
cushion              :  1         
cushions             :  1         
custard              :  1         
cut                  :  14        
cutting              :  3         
daingerfield         :  1         
dainties             :  1         
daintily             :  1         
damage               :  2         
damaged              :  1         
damages              :  4         
dance                :  13        
dare                 :  4         
daresay              :  2         
daring               :  1         
dark                 :  1         
darkness             :  2         
darling              :  1         
dashes               :  3         
data                 :  1         
date                 :  3         
davis                :  1         
day                  :  20        
days                 :  7         
dazed                :  1         
de                   :  4         
dead                 :  1         
deaf                 :  2         
deal                 :  5         
dear                 :  15        
december             :  1         
deductible           :  1         
dee                  :  23        
deep                 :  2         
deeply               :  2         
dees                 :  1         
defect               :  3         
defective            :  3         
defects              :  1         
deletions            :  1         
delightful           :  2         
demand               :  1         
denies               :  1         
deny                 :  5         
depends              :  2         
derision             :  1         
derivative           :  3         
derive               :  1         
derived              :  1         
described            :  1         
deserved             :  1         
designed             :  2         
desk                 :  1         
despair              :  1         
despite              :  1         
destroy              :  2         
detach               :  1         
details              :  1         
determine            :  1         
did                  :  34        
didnt                :  15        
dies                 :  1         
difference           :  1         
different            :  5         
digestible           :  1         
dignity              :  1         
digs                 :  1         
din                  :  3         
dinner               :  4         
dips                 :  1         
direct               :  1         
directed             :  2         
directions           :  1         
directly             :  2         
director             :  1         
disappear            :  1         
disappears           :  8         
disclaim             :  1         
disclaimer           :  3         
disclaimers          :  1         
discontinue          :  1         
discouraged          :  1         
discover             :  1         
discovered           :  2         
disgusting           :  1         
dish                 :  1         
disk                 :  1         
dismally             :  1         
dismay               :  1         
display              :  1         
displayed            :  1         
displaying           :  4         
distance             :  1         
distract             :  1         
distraction          :  1         
distribute           :  6         
distributed          :  6         
distributing         :  7         
distribution         :  6         
distributor          :  1         
divide               :  1         
divided              :  1         
dividing             :  1         
division             :  1         
dizzy                :  1         
do                   :  100       
does                 :  20        
doesnt               :  10        
dog                  :  5         
dogs                 :  2         
doing                :  6         
domain               :  8         
donald               :  1         
